,corpname,title,requirement,rank,link
0,株式会社Stock,【1億円資金調達したスタートアップ】情報共有ツール「Stock」の「Androidアプリエンジニア」募集！,・スマートフォンアプリ開発(ソーシャルゲーム含む) 実務１年以上,B,https://paiza.jp/career/job_offers/9810?from=list
1,ユニファ株式会社,テクノロジーの力で家族をもっと豊かにしたい！Androidアプリエンジニア募集！,"・スマートフォンアプリ開発(ソーシャルゲーム含む) 実務１年以上
・Kotlin 趣味or実務１年未満",B,https://paiza.jp/career/job_offers/9670?from=list
2,みんなのマーケット株式会社,【スタートアップ x Kotlin】サービスECを便利にするAndroidエンジニアを大募集！,・スマートフォンアプリ開発(ソーシャルゲーム含む) 実務１年以上,A,https://paiza.jp/career/job_offers/1482?from=list
3,株式会社EPARKグルメ,Androidアプリエンジニア◎外食事業に特化した便利サービスを開発※現在在宅稼働中となります,"・業界経験 実務１年以上
・Kotlin, Java のいずれか 趣味or実務１年未満",B,https://paiza.jp/career/job_offers/8832?from=list
4,株式会社サイバーエージェント,AbemaTVやAWAなどの自社アプリ開発 Androidエンジニア募集,・スマートフォンアプリ開発(ソーシャルゲーム含む) 実務１年以上,A,https://paiza.jp/career/job_offers/7802?from=list
5,トリプル・ダブリュー・ジャパン株式会社,トイレのタイミングをお知らせ！Androidアプリの開発エンジニアを募集！,"・スマートフォンアプリ開発(ソーシャルゲーム含む) 実務１年以上
・Kotlin 実務１年以上",B,https://paiza.jp/career/job_offers/7365?from=list
6,株式会社三恵クリエス,◆Web面談可能◆スキルチェンジ歓迎！！【スマホアプリエンジニア】Android・iOS,"・業界経験 実務１年以上
・システム設計 趣味or実務１年未満
・プログラムコーディング 実務１年以上",B,https://paiza.jp/career/job_offers/9879?from=list
7,株式会社リアルグローブ,【Node.js／Reactで自社サービス開発／東大発ベンチャー／残業30H以内】開発エンジニア募集！,"・Web開発(サーバサイドエンジニア) 実務１年以上
・Web開発(フロントエンドエンジニア) 実務１年以上",A,https://paiza.jp/career/job_offers/8463?from=list
8,株式会社コンセプトアートテクノロジーズ,アパレル縫製工場を支えるサービス開発（iOS担当）【コアメンバー／グローバル】,"・スマートフォンアプリ開発(ソーシャルゲーム含む) 実務１年以上
・Kotlin, Java, Swift, Objective-C のいずれか 実務１年以上",B,https://paiza.jp/career/job_offers/8917?from=list
9,かっこ株式会社,上場1年目の決済セキュリティトップの自社プロダクト開発をしたいエンジニア募集！,"・Web開発(サーバサイドエンジニア) 実務１年以上
・Java 実務１年以上",A,https://paiza.jp/career/job_offers/9574?from=list
10,株式会社カラダノート,【日本テクノロジー Fast50】成長率400%企業のiOS・Androidアプリ開発を牽引！,"・スマートフォンアプリ開発(ソーシャルゲーム含む) 実務１年以上
・Kotlin, Java, Swift, Objective-C のいずれか 実務１年以上",B,https://paiza.jp/career/job_offers/9444?from=list
11,株式会社アイモバイル,最先端技術による動画広告配信スマホアプリ開発【100％自社内／品質重視】SDKエンジニア 経験豊かな方歓迎,・スマートフォンアプリ開発(ソーシャルゲーム含む) 実務１年以上,B,https://paiza.jp/career/job_offers/9032?from=list
12,株式会社エックスポイントワン,【京都】アプリ開発エンジニア（WEBアプリ／ネイティブアプリ）※様々なアプリをゼロから企画・開発できます,"・スマートフォンアプリ開発(ソーシャルゲーム含む) 実務１年以上
・Web開発(サーバサイドエンジニア) 趣味or実務１年未満",A,https://paiza.jp/career/job_offers/5526?from=list
13,株式会社D2C dot,有名アプリの開発から運用まで！iOSアプリの開発エンジニア募集！！勤務時間・服装・イヤホンも自由！,"・スマートフォンアプリ開発(ソーシャルゲーム含む) 実務１年以上
・Swift 実務１年以上
・受託開発(自社内開発) 実務１年以上",A,https://paiza.jp/career/job_offers/8915?from=list
14,アミフィアブル株式会社,【企画段階から開発プロジェクトに携わりたい方】顧客の課題解決を担うリードエンジニア候補,・業界経験 実務１年以上,B,https://paiza.jp/career/job_offers/8693?from=list
15,BAMV合同会社,基礎から重視のサーバサイドエンジニア,"・業界経験 実務１年以上
・プログラムコーディング 趣味or実務１年未満
・テスト 趣味or実務１年未満",B,https://paiza.jp/career/job_offers/8034?from=list
16,株式会社アイモバイル,【フルサイクル志向歓迎】Androidアプリエンジニア募集【Kotlin/OpenGL/Java】,"・スマートフォンアプリ開発(ソーシャルゲーム含む) 実務１年以上
・Java 実務１年以上",A,https://paiza.jp/career/job_offers/7985?from=list
17,株式会社Donuts,中高生の約7割が使うライブ配信アプリ「MixChannel」を支えるAndroidエンジニア,"・スマートフォンアプリ開発(ソーシャルゲーム含む) 実務１年以上
・Kotlin 実務１年以上",A,https://paiza.jp/career/job_offers/7514?from=list
18,デジタルアーツ株式会社,【面接1回のスピード内定も有★】スマートデバイス向けWebフィルタリング開発≪アプリ開発エンジニア≫,"・スマートフォンアプリ開発(ソーシャルゲーム含む) 実務１年以上
・Objective-C, Swift, Java, Kotlin のいずれか 実務１年以上",B,https://paiza.jp/career/job_offers/6836?from=list
19,Meetscom株式会社,Web／スマホエンジニア◎スキル・適性に合わせた自社＆受託サービスの開発！【ゼロベース／コアメンバー】,・業界経験 実務１年以上,A,https://paiza.jp/career/job_offers/7041?from=list
20,ディップ株式会社,残業制限有／スキルアップ支援します★『バイトル』『はたらこねっと』のスマホアプリ開発エンジニア,"・Swift, Objective-C, Java, Kotlin のいずれか 趣味or実務１年未満
・スマートフォンアプリ 実務１年以上",C,https://paiza.jp/career/job_offers/5711?from=list
